9000144,20220930,1,2355,ST-1700,영등포본동_031_1,ST-1273,구로5동_031_1,1,9,2332.47
9000145,20220930,1,2355,ST-882,은천동_039_1,ST-717,중앙동_028_1,1,92,16658.88
9000146,20220930,1,2355,ST-2353,대방동_015_2,ST-2353,대방동_015_2,1,0,0.0
9000147,20220930,1,2355,ST-97,화양동_040_1,ST-97,화양동_040_1,1,3,21.73
9000148,20220930,1,2355,ST-285,문래동_057_1,ST-2820,문래동_004_1,1,8,1200.0
9000149,20220930,1,2355,ST-1375,상봉2동_002_3,ST-2270,휘경2동_009_1,1,12,2200.0
9000150,20220930,0,2355,ST-112,성수2가3동_016_1,ST-112,성수2가3동_016_1,1,0,0.0
9000151,20220930,1,2355,ST-175,숭인1동_010_1,ST-158,이화동_006_1,1,19,3660.0
9000152,20220930,1,2355,ST-542,잠실4동_001_3,ST-908,방이1동_011_1,1,12,2048.83
9000153,20220930,1,2355,ST-2382,낙성대동_012_1,ST-2379,서원동_010_1,1,15,345.74
9000154,20220930,1,2355,ST-2056,발산1동_037_1,ST-2058,발산1동_033_1,1,2,381.13
9000155,20220930,1,2355,ST-1064,발산1동_060_1,ST-1514,발산1동_061_1,1,9,1200.0
9000156,20220930,1,2355,ST-2726,창4동_004_1,ST-1279,상계6·7동_001_2,2,15,1956.21
9000157,20220930,1,2355,ST-2797,방이2동_012_1,ST-1705,잠실2동_066_1,2,40,7426.16
9000158,20220930,1,2355,ST-1357,신사동_012_1,ST-1268,보라매동_002_1,1,6,970.0
9000159,20220930,1,2355,ST-338,을지로동_001_2,ST-1813,창신1동_010_1,1,12,1600.0
9000160,20220930,1,2355,ST-1531,구로1동_002_2,ST-1219,구로1동_001_1,1,4,540.0
9000161,20220930,0,2355,ST-1905,서초4동_001_1,ST-1905,서초4동_001_1,1,0,0.0
9000162,20220930,1,2355,ST-2225,동선동_012_1,ST-2935,안암동_024_1,1,20,2704.34
9000163,20220930,1,2355,ST-1638,창2동_009_1,ST-1105,송중동_049_1,1,23,3710.0
9000164,20220930,1,2355,ST-2944,가양1동_029_1,ST-2944,가양1동_029_1,1,2,0.0
9000165,20220930,1,2355,ST-1718,방화1동_064_1,ST-2889,방화1동_064_2,1,2,340.0
