,학교명,소재지지번주소,소재지도로명주소,위도,경도
171,서울평화초등학교,서울특별시 송파구 가락동 106,서울특별시 송파구 송파대로26길 22 . 서울평화초등학교 (가락동),37.4915671217,127.1228236584
172,방산고등학교,서울특별시 송파구 방이동 220-5,서울특별시 송파구 오금로27길 18 (방이동),37.50831315,127.1204696386
173,세륜중학교,서울특별시 송파구 오금동 7-3,서울특별시 송파구 양재대로72길 41 (오금동.세륜중학교),37.5089331446,127.131246387
174,대영고등학교,서울특별시 영등포구 신길동 336-2,서울특별시 영등포구 도림로86길 16 (신길동. 대영고등학교),37.5036610907,126.9058657208
175,서울양동초등학교,서울특별시 양천구 신정동 941,서울특별시 양천구 오목로23길 24 (신정동),37.5258482641,126.8512401949
176,동마중학교,서울특별시 성동구 마장동 405-45,서울특별시 성동구 마조로11길 18 (마장동),37.562802506,127.0403511732
177,서울대동초등학교,서울특별시 영등포구 대림동 702,서울특별시 영등포구 대림로21길 6 . 서울대동초등학교 (대림동),37.4937050312,126.9001193883
178,서울영동초등학교,서울특별시 영등포구 당산동 121-22,서울특별시 영등포구 국회대로53길 20 (당산동. 영동초등학교),37.5270069102,126.9077033826
179,서울방이초등학교,서울특별시 송파구 방이동 167,서울특별시 송파구 위례성대로10길 4 . 서울방이초등학교 (방이동),37.51343915,127.1204994446
180,서울미아초등학교,서울특별시 성북구 길음동 1168,서울특별시 성북구 삼양로 77 (길음동. 서울미아초등학교),37.6105876087,127.0216444053
181,현대고등학교,서울특별시 강남구 압구정동 425,서울특별시 강남구 압구정로 127 (압구정동),37.5254804993,127.0223772985
182,서울대도초등학교,서울특별시 강남구 도곡동 106-1,서울특별시 강남구 선릉로 209 (도곡동. 서울대도초등학교),37.49260076,127.0533773627
183,서울보광초등학교,서울특별시 용산구 이태원동 15-13,서울특별시 용산구 우사단로 20 (이태원동.보광초등학교),37.5325404707,126.9963946
184,서울신동초등학교,서울특별시 서초구 잠원동 54-5,서울특별시 서초구 나루터로 15 (잠원동.신동초등학교),37.5171300437,127.0113903881
185,서울창림초등학교,서울특별시 도봉구 창동 411-8,서울특별시 도봉구 덕릉로63길 46 (창동),37.6432370796,127.0416040741
186,성산중학교,서울특별시 마포구 합정동 365-1,서울특별시 마포구 성지1길 32-13 (합정동),37.5473163695,126.9165628464
