,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m,shortest_bus,shortest_bus_meter
95, 조계사앞사거리,종로구,서울특별시 종로구 삼봉로95(견지동110),37.5721817,126.9828339,우정국로,견지동,종각,224.4,0,조계사.종로경찰서,33.8
96, 자교교회 앞,종로구,서울특별시 종로구 자하문로 56 자교교회,37.58114624,126.9712372,자하문로16길,창성동,경복궁,631.0,0,통인시장종로구보건소,71.5
97, 올림픽기념 국민생활관 로터리,종로구,서울특별시 종로구 혜화로 50,37.58983612,126.9993439,혜화로,혜화동,한성대입구,626.4,0,국민생활관,23.3
98, 웰니스센터(민방위교육장 앞),종로구,서울특별시 종로구 운니동 98-7,37.57752991,126.9891281,돈화문로11가길,운니동,안국,345.9,2,창덕궁,35.3
99, 천지인 오피스텔 앞,종로구,서울특별시 종로구 평창동 290-15,37.60469818,126.9645157,평창1길,평창동,홍제,2525.4,0,화정박물관,33.8
100, 현대 뜨레비앙 아파트 앞,종로구,서울특별시 종로구 돈화문로11가길 59,37.57528305,126.9906235,돈화문로11가길,와룡동,종로3가,421.2,1,창덕궁,89.5
101, 돈의문 박물관 마을,종로구,서울특별시 종로구 새문안로 39-1 동서한의원,37.56883621,126.9695511,새문안로,신문로2가,서대문,426.2,0,서울역사박물관(경교장),79.8
102, 광화문역 6번출구 옆 A,종로구,서울특별시 종로구 세종로 208,37.56993103,126.9764328,세종대로21길,세종로,광화문,123.3,0,광화문,10.4
103, 종로문화원 건너편,종로구,서울특별시 종로구 중학동 10-3,37.57571411,126.9805069,율곡로2길,중학동,안국,444.2,0,법련사,122.2
104, 정동사거리,중구,서울특별시 중구 정동길 2-1 정동사거리,37.56805038,126.9692307,새문안로,충정로1가,서대문,340.9,1,강북삼성병원,56.7
105, 청계광장 옆,중구,서울특별시 중구 세종대로 136 청계광장 옆,37.56887817,126.9774704,세종대로,태평로1가,광화문,248.7,1,서울신문사,57.9
106, 광교사거리 남측,중구,서울특별시 중구 남대문로 125 DGB금융센터,37.56863403,126.9823151,남대문로,다동,종각,177.8,0,종각역,97.3
107, 을지로입구역 4번출구 앞,중구,서울특별시 중구 을지로 55 명동금융센터 앞,37.56622314,126.9835892,명동9길,을지로2가,을지로입구,88.9,1,우리은행종로지점,155.2
108, KEB 하나금융그룹 명동사옥 옆,중구,서울특별시 중구 을지로 66 한국외환은행 본점 앞,37.56546402,126.9841385,명동9길,을지로2가,을지로입구,147.6,0,을지로입구.로얄호텔,119.7
109, 명동성당 앞,중구,서울특별시 중구 명동길 74 명동성당 앞,37.56447601,126.986969,명동길,명동2가,명동,391.2,1,남대문세무서.서울백병원,75.1
110, 신세계백화점 본점 앞,중구,서울특별시 중구 충무로1가 53-6,37.56143188,126.9806976,남대문시장길,남대문로3가,회현,389.6,2,남대문시장,62.4
111, 을지로2가 사거리 북측,중구,서울특별시 중구 을지로 79 을지로2가 사거리 북측,37.56638336,126.9872055,명동13길,을지로2가,을지로입구,407.4,1,을지로2가.기업은행본점.서울노동청,62.2
112, 을지로2가 사거리 남측,중구,서울특별시 중구 을지로 100 을지로2가 사거리 남측,37.56599045,126.987793,명동13길,을지로2가,을지로3가,365.3,0,남대문세무서.국가인권위원회,100.8
113, 충무로역 6번출구 앞,중구,서울특별시 중구 퇴계로 214 충무로역 3.4호선,37.56144714,126.9931107,퇴계로37길,필동1가,충무로,105.8,0,충무로역.매일경제,36.5
114, 맥스타일 앞,중구,서울특별시 중구 마장로 3 맥스타일,37.56918335,127.0098801,장충단로,을지로6가,동대문,248.5,2,청계6가.오간수교,81.7
115, 동대문역사문화공원역 9번출구 앞,중구,서울특별시 중구 장충단로 지하230 동대문역사문화공원역 9번출구 앞,37.56533051,127.007843,장충단로,을지로7가,동대문역사문화공원,21.9,3,광희동,38.6
