,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m,shortest_bus,shortest_bus_meter,public_transport_in_100m,subway_count_in_100m,bus_count_in_100m,schools_in_100m,unis_in_100m,total_schools_in_100m,public_places_and_schools_in_100m,대여소_ID,borrow_count,return_count,balance_rate,borrow_count_weekday,borrow_count_weekend,return_count_weekday,return_count_weekend
69,안국동사거리(신),종로구,서울특별시 종로구 안국동 175-92,37.57580566,126.9833908,인사동길,안국동,안국,196.0,0,인사동.북촌,37.3,4,0,4,0,0,0,0,ST-1804,31926,30105,0.0293562895971369,23310,8616,21663,8442
70,종로타워빌딩,종로구,서울특별시 종로구 공평동 70-4,37.57051086,126.9833679,우정국로,공평동,종각,55.3,0,종각.공평유적전시관,120.7,1,1,0,0,0,0,0,ST-1805,25547,25200,0.0068378426310914,20992,4555,20848,4352
71,종로3가역 8번출구,종로구,서울특별시 종로구 돈화문로10길 2,37.5724678,126.99189,돈화문로8길,묘동,종로3가,95.8,0,종로3가.1.3.5호선,156.9,3,3,0,0,0,0,0,ST-1807,49351,50116,-0.0076909929926508,40701,8650,41270,8846
72,종묘,종로구,서울특별시 종로구 종로 153-2 가로판매대,37.5707016,126.994812,돈화문로4길,종로3가,종로3가,283.9,0,종로4가.종묘,23.0,6,0,6,0,0,0,0,ST-1808,17492,17635,-0.0040709425797819,14325,3167,14444,3191
73,세운상가,종로구,서울특별시 종로구 종로 152,37.5703125,126.994545,돈화문로4길,종로3가,종로3가,281.4,0,종로4가.종묘,12.7,6,0,6,0,0,0,0,ST-1809,15101,15230,-0.0042530744123174,12362,2739,12614,2616
74,종로플레이스,종로구,서울특별시 종로구 창경궁로 120 종로플레이스,37.57320023,126.997963,창경궁로16길,인의동,종로5가,426.1,0,종로4가.혜화경찰서,75.9,2,0,2,0,0,0,0,ST-1810,40392,41581,-0.014504775962817,34972,5420,36201,5380
75,종로5가역 4번출구,종로구,서울특별시 종로구 종로5가 79-2,37.57117462,127.0022278,대학로2길,종로5가,종로5가,43.4,0,종로5가.3번출구,29.8,5,1,4,0,0,0,0,ST-1811,22868,22842,0.0005688033253117,17602,5266,17484,5358
76,동대문역6번출구,종로구,서울특별시 종로구 종로 302 1호선 동대문역,37.57146072,127.010788,종로46가길,창신동,동대문,92.3,0,동대문역5번출구,93.9,3,2,1,0,0,0,0,ST-1812,31540,33227,-0.0260472154029058,23413,8127,24166,9061
77,동묘앞역 6번출구,종로구,서울특별시 종로구 창신동 397-6,37.5715332,127.0156174,지봉로,창신동,동묘앞,141.0,0,동묘역앞,16.9,2,0,2,0,0,0,0,ST-1813,40415,40848,-0.0053283782287141,32769,7646,32408,8440
78,창신3동주민센터,종로구,서울특별시 종로구 창신동 23-825,37.57772446,127.0152512,지봉로,창신동,창신,214.9,1,숭인1동주민센터,43.9,5,0,5,0,0,0,1,ST-1814,25218,24819,0.0079740991666167,19184,6034,18973,5846
79,창신역2번 출구,종로구,서울특별시 종로구 창신동 1-105,37.57998657,127.0150604,지봉로17길,창신동,창신,39.5,0,쌍용아파트입구.창신역,58.9,4,1,3,0,0,0,0,ST-1815,2567,2304,0.0539930199137754,1856,711,1730,574
80,국립어린이과학관,종로구,서울특별시 종로구 와룡동 2-85,37.58194733,126.9973679,창경궁로27길,와룡동,혜화,397.7,0,명륜3가.성대입구,117.6,0,0,0,0,0,0,0,ST-1816,11424,11208,0.009544008483563,8851,2573,8708,2500
81, 성균관대입구사거리,종로구,서울특별시 종로구 명륜2가 197-4,37.58327484,126.9988556,창경궁로,명륜2가,혜화,283.8,0,성대입구,0.9,5,0,5,0,0,0,0,ST-1817,24523,24567,-0.0008963128946832,18399,6124,18327,6240
82,혜화역 1번출구,종로구,서울특별시 종로구 대학로 144 중원빌딩,37.58385468,127.0018539,대학로14길,혜화동,혜화,168.6,0,혜화역1번출구,45.1,4,0,4,0,0,0,0,ST-1818,44285,44596,-0.003499060541623,33005,11280,33128,11468
83,성균관대 정문,종로구,서울특별시 종로구 명륜2가 133,37.58479691,126.9971314,성균관로,명륜2가,혜화,497.9,1,성균관대학교,27.1,1,0,1,0,0,0,1,ST-1819,38543,36520,0.0269506947497435,29381,9162,27550,8970
84,현대그룹(본사),종로구,서울특별시 종로구 연지동 1-38,37.57583618,127.0006943,율곡로,연지동,종로5가,554.4,1,현대그룹빌딩,14.8,3,0,3,0,0,0,1,ST-1820,18310,17364,0.0265179122049672,14636,3674,13828,3536
85,광화문 풍림스페이스본 1단지앞,종로구,서울특별시 종로구 사직동 9-2,37.57529068,126.968956,사직로8길,사직동,경복궁,407.4,0,사직단,83.2,4,0,4,0,0,0,0,ST-1822,14179,10977,0.127285737001113,10991,3188,8402,2575
86,독립문역 2번출구 뒤,종로구,서울특별시 종로구 무악동 32-3,37.57501602,126.9575501,통일로,무악동,독립문,52.4,1,독립문역,6.6,4,1,3,0,0,0,1,ST-1823,6392,5397,0.0844007125286283,4842,1550,4042,1355
87,인왕산 아이파크 정문,종로구,서울특별시 종로구 무악동 60-5,37.57666779,126.9558487,통일로,무악동,독립문,286.9,0,한성과학고,45.0,3,0,3,0,0,0,0,ST-1824,5741,5008,0.0681923899897664,4351,1390,3899,1109
88,서울미술관,종로구,서울특별시 종로구 부암동 202-1,37.59512711,126.9634934,창의문로12길,부암동,무악재,1840.3,0,자하문터널입구.석파정,53.4,3,0,3,0,0,0,0,ST-1825,3989,2513,0.2270070747462319,2791,1198,1665,848
89,HW컨벤션센터 앞,종로구,서울특별시 종로구 부암동 134-2,37.59725952,126.963089,자하문로,부암동,무악재,2008.7,0,하림각,48.4,2,0,2,0,0,0,0,ST-1826,4019,1663,0.4146427314325941,2983,1036,1196,467
90,구기치안센터 앞,종로구,서울특별시 종로구 비봉길 12,37.60950089,126.9566803,비봉길,구기동,녹번,2078.3,1,구기동현대빌라,20.7,2,0,2,0,0,0,1,ST-1827,2906,977,0.4967808395570435,1995,911,643,334
91,로제우스 레포츠센터,종로구,서울특별시 종로구 구기동 110-22,37.60760117,126.9576874,진흥로,구기동,녹번,2073.4,0,인왕빌딩,36.7,1,0,1,0,0,0,0,ST-1828,3691,2191,0.2550153009180551,2730,961,1577,614
92,종로2가 사거리,종로구,서울특별시 종로구 종로 98 와이.비.엠 종로빌딩,37.56999207,126.9883423,삼일대로20길,종로2가,종로3가,354.6,0,인사동.탑골공원,42.7,4,0,4,0,0,0,0,ST-1829,26652,24316,0.0458326793282059,20750,5902,19051,5265
93, 쌍용아파트2단지 정문,종로구,서울특별시 종로구 낙산길198(창신3동),37.58131409,127.0126801,낙산길,창신동,창신,291.3,0,창신쌍용2단지.한성대후문,8.8,2,0,2,0,0,0,0,ST-2511,7136,887,0.7788857036021438,4919,2217,544,343
