"아이디","새주소 아이디","시설 아이디","시설명","위도","경도","건물군여부","시설용도분류","소재지 도로명주소","소재지 지번주소","기타","국가지점번호","데이터 기준일자"
"2427","","P0297","마고정근린공원","37.632473","126.91911","","FU_BI","서울특별시 은평구 통일로 1010","서울특별시 은평구 진관동 101-2","","다사 4874 5938","2022-12-07 00:00:00.0"
"2430","","P0300","신도공원","37.633743","126.93018","","FU_BI","서울특별시 은평구 진관2로 90","서울특별시 은평구 진관동 107","","다사 4972 5951","2022-12-07 00:00:00.0"
"2438","","P0308","사직공원","37.575935","126.96726","","FU_BI","서울특별시 종로구 사직로 89","서울특별시 종로구 사직동 1-28","","다사 5295 5308","2022-12-07 00:00:00.0"
"2439","","P0309","삼청공원","37.592167","126.98283","","FU_BI","서울특별시 종로구 와룡공원길 41","서울특별시 종로구 삼청동 산 2-1","","다사 5434 5487","2022-12-07 00:00:00.0"
"2440","","P0310","월암근린공원","37.570778","126.965744","","FU_BI","서울특별시 종로구 송월길 52","서울특별시 종로구 송월동 1-2","","다사 5282 5251","2022-12-07 00:00:00.0"
"2444","","P0314","인왕산공원","37.582703","126.96053","","FU_BI","","서울특별시 종로구 옥인동 산 3-37","","다사 5236 5383","2022-12-07 00:00:00.0"
"2447","","P0317","탑골공원","37.57116","126.98836","","FU_BI","서울특별시 종로구 종로 99","서울특별시 종로구 종로2가 38-1","","다사 5481 5254","2022-12-07 00:00:00.0"
"2451","","P0321","무학봉공원","37.562435","127.02452","","FU_BI","서울특별시 중구 난계로6길 8","서울특별시 중구 신당동 산 12-75","","다사 5800 5155","2022-12-07 00:00:00.0"
"2454","","P0324","청남공원","37.618046","127.11139","","FU_BI","서울특별시 중랑구 신내역로1길 164","서울특별시 중랑구 신내동 241","","다사 6570 5769","2022-12-07 00:00:00.0"
"2455","","P0325","봉화산근린공원","37.609055","127.08172","","FU_BI","서울특별시 중랑구 동일로152길 53","서울특별시 중랑구 묵동 126-1","","다사 6308 5670","2022-12-07 00:00:00.0"
"2457","","P0327","능산공원","37.611782","127.09739","","FU_BI","서울특별시 중랑구 신내로 128","서울특별시 중랑구 신내동 397","","다사 6446 5700","2022-12-07 00:00:00.0"
"2458","","P0328","신내공원","37.61378","127.08918","","FU_BI","","서울특별시 중랑구 신내동 652","","다사 6374 5722","2022-12-07 00:00:00.0"
"2459","","P0329","배말공원","37.61415","127.111946","","FU_BI","","서울특별시 중랑구 신내동 819","","다사 6575 5726","2022-12-07 00:00:00.0"
"2461","","P0331","오류동역문화공원","37.494633","126.84552","","FU_BI","서울특별시 구로구 경인로20길 13","서울특별시 구로구 오류동 299-29","","다사 4214 4413","2022-12-07 00:00:00.0"
"2463","","P0333","독산청소년문화의집공원","37.463917","126.89269","","FU_BI","서울특별시 금천구 벚꽃로10길 45","서울특별시 금천구 독산동 1160-2","","다사 4629 4069","2022-12-07 00:00:00.0"
