Unnamed: 0,보관소(대여소)명,자치구,상세주소,위도,경도,shortest_road,법정동,shortest_subway,shortest_subway_meter,public_place_in_100m
643, 종암사거리 분수대,성북구,서울특별시 성북구 종암로 147 성북구 하월곡동 104-134,37.6030426,127.0332718,화랑로,종암동,길음,726.9,1
644, 국민은행 종암동지점 앞,성북구,서울특별시 성북구 종암로3길 37-2 성북구 종암동 12-33,37.59328842,127.0366669,종암로,종암동,고려대,310.3,1
645, 래미안라센트아파트 103동 앞,성북구,서울특별시 성북구 종암로3길 37-2 성북구 종암동 12-33,37.59806824,127.0392761,월곡로7길,종암동,월곡,473.9,0
646, 월곡역 입구 육교 밑,성북구,서울특별시 성북구 월곡로 지하 107 성북구 종암동 113-10,37.60043335,127.0402069,월곡로13길,종암동,월곡,204.1,1
647, 상월곡역 4번출구,성북구,서울특별시 성북구 화랑로 148 성북구 상월곡동 산7-1,37.60580826,127.0477371,화랑로17길,상월곡동,상월곡,91.7,1
648, 상월곡역 1번출구,성북구,서울특별시 성북구 화랑로 지하 157 성북구 상월곡동 35-9,37.60606766,127.0473175,화랑로17길,상월곡동,상월곡,109.2,0
649, 상월곡역 3번출구,성북구,서울특별시 성북구 화랑로 지하 157 성북구 상월곡동 26-1,37.60734177,127.0506821,화랑로22길,상월곡동,상월곡,221.1,0
650, 월곡역 3번출구,성북구,서울특별시 성북구 월곡로 지하 107 성북구 하월곡동 37-4,37.6026268,127.0416336,화랑로11길,하월곡동,월곡,76.0,0
651, 석계역 5번출구 건너편,성북구,서울특별시 노원구 화랑로 지하 347-1 성북구 석관동 134-4,37.61355591,127.0660934,한천로66길,석관동,석계,140.3,1
652, 석관초등학교 앞,성북구,서울특별시 성북구 돌곶이로22길 21 성북구 석관동 202-3,37.61052322,127.0597992,돌곶이로22길,석관동,돌곶이,297.4,0
653, 석관동주민센터 앞,성북구,서울특별시 성북구 화랑로 296 성북구 석관동 384-2,37.61299896,127.0613098,화랑로40길,석관동,석계,448.3,0
654, 성북3교 위,성북구,서울특별시 성북구 보문로 192 성북3교 위,37.59125137,127.0140076,보문로,삼선동4가,성신여대입구,260.7,0
655, 돈암성당 옆,성북구,서울특별시 성북구 인촌로7길 120 돈암성당 옆,37.59038162,127.0171356,고려대로7길,동선동2가,성신여대입구,257.2,0
656, 용문2교 옆,성북구,서울특별시 성북구 인촌로7길 24 용문2교 옆,37.5868988,127.020752,보문로26길,안암동2가,보문,216.1,0
