,보관소(대여소)명,자치구,위도,경도,public_place_in_100m,public_transport_in_100m,total_schools_in_100m,population_per_station,area_per_station,거치대 개수
166, 국제빌딩,중구,37.56693268,126.9825821,1,2,0,0,520.45,10
167, 동대문디자인플라자,중구,37.5683136,127.0094605,3,3,0,0,599.29,20
168, 서소문성지역사박물관,중구,37.56024551,126.9687805,1,2,0,8,2.53,23
169, 서울도시건축전시관,중구,37.5670166,126.9768372,0,2,0,0,8.34,12
170, 중앙일보,중구,37.56253433,126.972496,0,0,0,0,812.43,10
171, 을지로입구역 8번출구,중구,37.56590271,126.981781,1,3,0,0,0,9
172, 을지로지하쇼핑센터,중구,37.56589127,126.9844513,0,1,0,3.5,224.42,10
173,서울지방고용노동청 앞,중구,37.56761551,126.9872437,2,1,0,0,666.84,10
174, 신세계면세점,중구,37.56005478,126.9809418,1,0,0,0,794.78,10
175, 약수동 주민센터,중구,37.55281448,127.0091934,1,1,0,313,181.03,8
176, 대신파이낸스센터,중구,37.56520844,126.9873962,1,2,0,0,598.84,10
177, 브라운스위트레지던스,중구,37.56147003,126.9680176,0,2,0,0,480.405,10
178, 서소문역사공원,중구,37.56157303,126.9684906,0,1,0,0,480.405,10
179, 중부경찰서앞 사거리,중구,37.56459045,126.9907684,0,0,0,78.5,163.515,10
180, 롯데시티호텔,중구,37.56689835,126.9877396,1,0,0,0,509.655,8
181, 명동역9번 출구,중구,37.56122589,126.9874954,0,1,0,14,460.41,10
182, 퇴계로4가 교차로(중구청),중구,37.5625267,126.9983139,0,0,0,727,628.96,10
183, 동대문역사문화공원역 5번출구,중구,37.56430817,127.0064774,0,1,0,25,306.76,10
184, 서울역 서부교차로(3),중구,37.55540848,126.9694214,0,1,0,0,0,8
185, 부산은행,중구,37.5664711,126.9792557,0,0,0,0,736.49,10
186, KG타워 앞,중구,37.56339645,126.9689407,1,5,0,150,895.18,13
187, 황학동롯데캐슬,중구,37.57162094,127.0220413,1,2,0,1354,0,10
188, 필동 삼거리,중구,37.55969238,126.9964829,0,0,0,49,188.91,5
189, 충정로역 2호선(엘리베이터 앞),중구,37.55937576,126.9641419,0,7,0,37,223.99,5
