,기준_날짜,기준_시간,시작_대여소,종료_대여소,전체건수,전체_이용_분,전체_이용_거리,전 체건수
8000213,20220627,1840,ST-281,ST-413,,7,750,1.0
8000214,20220627,1950,ST-281,ST-413,,3,800,1.0
8000215,20220627,820,ST-292,ST-413,,6,506,1.0
8000216,20220627,720,ST-292,ST-413,,3,30,1.0
8000217,20220627,745,ST-1701,ST-294,,7,1180,1.0
8000218,20220627,750,ST-295,ST-294,,4,710,1.0
8000219,20220627,1155,ST-1973,ST-1973,,97,6820,1.0
8000220,20220627,1925,ST-1973,ST-1973,,80,0,1.0
8000221,20220627,1640,ST-413,ST-1973,,5,1030,1.0
8000222,20220627,2250,ST-71,ST-2813,,2,0,1.0
8000223,20220627,650,ST-66,ST-2813,,3,520,1.0
8000224,20220627,1600,ST-923,ST-2813,,41,7130,1.0
8000225,20220627,840,ST-728,ST-68,,19,2538,1.0
8000226,20220627,1800,ST-422,ST-294,,3,900,1.0
8000227,20220627,1825,ST-3011,ST-294,,19,1441,1.0
8000228,20220627,1350,ST-294,ST-294,,112,341,1.0
8000229,20220627,1345,ST-418,ST-1973,,9,1790,1.0
8000230,20220627,805,ST-420,ST-287,,6,701,1.0
8000231,20220627,40,ST-2815,ST-287,,4,1080,1.0
8000232,20220627,955,ST-416,ST-68,,18,4732,1.0
8000233,20220627,815,ST-2818,ST-68,,14,2690,1.0
8000234,20220627,745,ST-307,ST-68,,7,1256,1.0
8000235,20220627,845,ST-307,ST-68,,5,1169,1.0
8000236,20220627,1835,ST-2902,ST-2800,,13,1878,1.0
8000237,20220627,1940,ST-300,ST-2800,,6,527,1.0
8000238,20220627,925,ST-1991,ST-2800,,5,347,1.0
8000239,20220627,1830,ST-70,ST-2800,,20,2670,1.0
8000240,20220627,915,ST-703,ST-2800,,20,2150,1.0
8000241,20220627,750,ST-307,ST-307,,1,0,1.0
8000242,20220627,620,ST-2537,ST-94,,4,540,1.0
8000243,20220627,2225,ST-93,ST-94,,3,685,1.0
8000244,20220627,1835,ST-95,ST-94,,2,318,1.0
8000245,20220627,905,ST-1236,ST-1975,,24,2032,1.0
8000246,20220627,2125,ST-1974,ST-290,,60,10860,1.0
8000247,20220627,1825,ST-283,ST-290,,6,954,1.0
8000248,20220627,2335,ST-81,ST-2164,,4,610,1.0
8000249,20220627,1525,ST-82,ST-2164,,17,2280,1.0
8000250,20220627,945,ST-92,ST-83,,8,1510,1.0
8000251,20220627,1850,ST-1968,ST-2822,,7,359,1.0
8000252,20220627,2255,ST-1968,ST-2822,,3,325,1.0
8000253,20220627,200,ST-1653,ST-2822,,2,310,1.0
8000254,20220627,735,ST-1653,ST-2822,,2,260,1.0
8000255,20220627,820,ST-1653,ST-2822,,4,250,2.0
8000256,20220627,900,ST-87,ST-94,,8,1271,1.0
8000257,20220627,830,ST-2208,ST-94,,14,1799,1.0
8000258,20220627,630,ST-1323,ST-1323,,33,8520,1.0
8000259,20220627,1830,ST-1323,ST-1323,,45,1230,1.0
8000260,20220627,145,ST-290,ST-1323,,1,390,1.0
8000261,20220627,825,ST-84,ST-83,,3,370,1.0
8000262,20220627,1850,ST-2149,ST-83,,3,387,1.0
8000263,20220627,2000,ST-78,ST-83,,32,2154,1.0
8000264,20220627,945,ST-77,ST-83,,4,650,1.0
8000265,20220627,1855,ST-1751,ST-83,,7,1470,1.0
8000266,20220627,750,ST-1701,ST-2822,,4,712,1.0
8000267,20220627,2040,ST-1701,ST-2822,,7,714,1.0
8000268,20220627,120,ST-2807,ST-2822,,5,758,1.0
8000269,20220627,1745,ST-294,ST-2822,,8,1014,1.0
8000270,20220627,2010,ST-294,ST-2822,,8,1052,1.0
8000271,20220627,920,ST-295,ST-2815,,13,2021,1.0
8000272,20220627,830,ST-287,ST-2815,,14,1070,1.0
8000273,20220627,730,ST-302,ST-1323,,5,856,1.0
8000274,20220627,1850,ST-2809,ST-1323,,38,2280,1.0
8000275,20220627,1825,ST-1992,ST-1653,,10,1480,1.0
8000276,20220627,2045,ST-1650,ST-1653,,10,1020,1.0
8000277,20220627,1855,ST-2822,ST-1653,,21,420,1.0
8000278,20220627,1155,ST-1968,ST-1653,,29,1278,1.0
8000279,20220627,1805,ST-413,ST-2822,,7,836,1.0
8000280,20220627,2030,ST-63,ST-2815,,20,2370,1.0
8000281,20220627,1720,ST-60,ST-2815,,12,1471,1.0
8000282,20220627,1815,ST-53,ST-2815,,40,2761,1.0
8000283,20220627,1840,ST-55,ST-2815,,23,2870,1.0
8000284,20220627,845,ST-728,ST-288,,32,3705,1.0
8000285,20220627,830,ST-2007,ST-1323,,12,2498,1.0
8000286,20220627,2025,ST-2810,ST-1653,,5,1450,1.0
8000287,20220627,1220,ST-295,ST-1653,,148,1881,1.0
8000288,20220627,1920,ST-294,ST-1653,,7,792,1.0
8000289,20220627,1820,ST-47,ST-2822,,16,2480,1.0
8000290,20220627,900,ST-1222,ST-2822,,16,3191,1.0
8000291,20220627,45,ST-2818,ST-2818,,0,0,1.0
8000292,20220627,855,ST-2818,ST-288,,8,1235,1.0
8000293,20220627,2305,ST-1910,ST-288,,53,10260,1.0
8000294,20220627,820,ST-2812,ST-288,,9,1709,1.0
8000295,20220627,755,ST-2812,ST-288,,8,1690,1.0
8000296,20220627,535,ST-873,ST-1974,,12,1956,1.0
8000297,20220627,945,ST-1223,ST-1974,,5,930,1.0
8000298,20220627,2000,ST-1223,ST-1974,,7,1220,1.0
8000299,20220627,2135,ST-1223,ST-1974,,7,880,1.0
8000300,20220627,2020,ST-289,ST-1968,,10,1560,1.0
